trial_id,temp,pH,latency_ms,success,seed
354,32.0,7.4,1.431803882965036,1,42
355,32.0,7.4,1.1417250673103378,1,42
356,32.0,7.4,1.0757820886027816,1,42
357,32.0,7.4,,0,42
358,32.0,7.4,1.1948540327143287,1,42
359,32.0,7.4,1.562135815187537,1,42
360,32.0,7.4,1.2844166081145256,1,42
361,32.0,7.4,1.3598232057085193,1,42
362,32.0,7.4,1.1318575290420345,1,42
363,32.0,7.4,1.32966987689829,1,42
364,32.0,7.4,0.8922937156339037,1,42
365,32.0,7.4,1.3872719152171098,1,42
366,32.0,7.4,1.099371381691272,1,42
367,32.0,7.4,1.0570609445524122,1,42
368,32.0,7.4,1.1916491992293876,1,42
369,32.0,7.4,1.3230799259957173,1,42
370,32.0,7.4,1.1905220192153108,1,42
371,32.0,7.4,1.0719793433355993,1,42
372,32.0,7.4,1.2834126422887482,1,42
373,32.0,7.4,1.102040540318035,1,42
374,32.0,7.4,,0,42
375,32.0,7.4,1.1895127593293569,1,42
376,32.0,7.4,1.2141130466629626,1,42
377,32.0,7.4,1.2088674863528712,1,42
